,entité,freq
10290,Gorbatchef,4
10291,Ecole Nationale de la Magistrature,4
10292,quai d'Orsay,4
10293,Punissez,4
10294,PLUS DE PROXIMITE,4
10295,Manifestation,4
10296,Réconcilier,4
10297,Champs Élysées,4
10298,Deplus,4
10299,Rom,4
10300,Central,4
10301,AU LIEU,4
10302,Stéphane Bern,4
10303,Voirie,4
10304,LOURDES,4
10305,Alcool,4
10306,Agences Régionales,4
10307,Orpea,4
10308,ministère de l'Éducation Nationale,4
10309,DIGNITÉ,4
10310,J.Toubon,4
10311,protégez,4
10312,Pierre Dac,4
10313,Mosanto,4
10314,Dalaï,4
10315,Fondation Jean Jaurès,4
10316,l´on,4
10317,Bulletin,4
10318,M.Bayrou,4
10319,States,4
10320,Ile de france,4
10321,LA TOLERANCE,4
10322,Conseil économique....,4
10323,ETRE CITOYEN,4
10324,FEU,4
10325,Assemblée Territoriale,4
10326,Solidarite,4
10327,CESI,4
10328,faciliter,4
10329,Gays,4
10330,Jacques Salomé,4
10331,REDEFINIR,4
10332,Bla,4
10333,PLAISIR,4
10334,Aurillac,4
10335,CAUE,4
10336,Claude Habib,4
10337,PCD,4
10338,La Droite,4
10339,Majeur,4
10340,Parl,4
10341,E.Macron Rendre,4
10342,Redemander,4
10343,Greenpeace France,4
10344,Respectez,4
10345,Laudato,4
10346,Cultiver,4
10347,PHILOSOPHIE,4
10348,Briançon,4
10349,PROSCRIRE,4
10350,Alliance française,4
10351,clochers,4
10352,Cyclistes,4
10353,Guinéen,4
10354,IMPARTIALE,4
10355,Inspection du Travail,4
10356,R.S.A,4
10357,Niches fiscales,4
10358,bureaucratie,4
10359,M CHEVENEMENT,4
10360,initier,4
10361,Conseils économique social et consort,4
10362,valider,4
10363,secours populaire,4
10364,Révocabilité,4
10365,Modérateur,4
10366,INITIATIVES,4
10367,Dupond,4
10368,l’Ouganda,4
10369,Ensuite,4
10370,h.	,4
10371,balkany,4
10372,R. Laraki,4
10373,- Créer,4
10374,Miami,4
10375,Rééduquer,4
10376,Européene,4
10377,Exposer,4
10378,aéroport N.D. des Landes,4
10379,Initiative Citoyenne Européenne,4
10380,Désengorger,4
10381,Zeus,4
10382,Acces,4
10383,CIO,4
10384,Impression,4
10385,Etienne CHOUARD,4
10386,Ministère des Armées,4
10387,blablabla,4
10388,Inscription,4
10389,Croiser,4
10390,ANTISEMITISME,4
10391,Talibans,4
10392,MODESTIE,4
10393,l’association,4
10394,Sociétés Coopérative,4
10395,Economie Sociale,4
10396,Sociétés Coopérative de Production,4
10397,Société Coopérative de Production,4
10398,M. Hulot,4
10399,Convention Internationale des Droits de l'Enfant,4
10400,Démocratie locale,4
10401,Novlangue,4
10402,Quick,4
10403,ENVIE,4
10404,La Politique,4
10405,Islamique,4
10406,Information claire,4
10407,L. Non,4
10408,ligne »,4
10409,Soutiens,4
10410,St Germain,4
10411,Volonté,4
10412,Unité Nationale,4
10413,(ce,4
10414,CONCRETEMENT,4
10415,José Bové,4
10416,Pairs,4
10417,ONISR,4
10418,social France,4
10419,Haut Conseil à l'Egalité,4
10420,A.	,4
10421,B.	,4
10422,Hautes Autorités de ceci,4
10423,IVeme République,4
10424,A MARRE,4
10425,Ipsos,4
10426,Omerta,4
10427,Équateur,4
10428,Porto,4
10429,Fédération française,4
10430,Fédération Mondiale des Sourds,4
10431,L.S.F.,4
10432,- Réformer,4
10433,A »,4
10434,Aéroport de Toulouse,4
10435,Apprendre le Français,4
10436,PREVENTION,4
10437,-L’,4
10438,M Michel Debré,4
10439,AFILS,4
10440,IVT,4
10441,Ministre du Budget,4
10442,Maîtres,4
10443,l’Ile Maurice,4
10444,appliquer stricto,4
10445,en Bretagne,4
10446,ados,4
10447,état!. Oui,4
10448,pouvez,4
10449,Réduisons,4
10450,Romaine,4
10451,Conseil économique/social/environnemental,4
10452,celui(celle,4
10453,o	Fonctionnaires,4
10454,BIEN ENTENDU,4
10455,Trans,4
10456,Julia,4
10457,Belphégor,4
10458,CONSULTABLE,4
10459,Conseil du Culte,4
10460,République portées,4
10461,PLAN MARSHALL,4
10462,REPRÉSENTENT,4
10463,Etat néo-libéral,4
10464,Colloque Lippmann,4
10465,» Spinoza,4
10466,Sylvestre Huet,4
10467,Barbara Stiegler,4
10468,Lippmann,4
10469,pardon,4
10470,Fondatrice,4
10471,Arès xix.22,4
10472,Petites Unités Humaines,4
10473,Velin,4
10474,Bingo,4
10475,SURSIS,4
10476,3D »,4
10477,Supprimer SOS,4
10478,Instaurer l’,4
10479,PAS FORCEMENT,4
10480,l’Assemblée National,4
10481,Etam,4
10482,Dalaï Lama,4
10483,Place de parking,4
10484,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX Diminuer,4
10485,Codevi,4
10486,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX La France,4
10487,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,4
10488,Chauffage,4
10489,RAPPORTEUR,4
10490,Démocratie »,4
10491,Royan,4
10492,Parquets,4
10493,Bernard Clément,4
10494,Mots,4
10495,impot.gouv,3
10496,ministère des Sports,3
10497,CULTE,3
10498,Service national civil,3
10499,Pognon,3
10500,Vente,3
10501,Car,3
10502,example,3
10503,Invitez,3
10504,Faiblesse,3
10505,Réorganisation,3
10506,burkini,3
10507,Peuple ,3
10508,Conseil des Prud’hommes,3
10509,Autoritarisme,3
10510,Suppression du,3
10511,Cour des comptes et des chambres,3
10512,AREVA,3
10513,Lors,3
10514,Code du Travail,3
10515,Invisibles,3
10516,Sénat citoyen,3
10517,"s""en",3
10518,PLI,3
10519,FIER,3
10520,Midi Pyrénées,3
10521,L’AME,3
10522,Aucun des candidats »,3
10523,G5 Sahel,3
10524,Respect des personnes,3
10525,Pays d’origine,3
10526,Chomage,3
10527,Défini,3
10528,IMPOLITESSE,3
10529,Démocratiques,3
10530,Compter,3
10531,Consultations,3
10532,CIRC,3
10533,La croix rouge,3
10534,Prêtre,3
10535,Anciennes,3
10536,Yes,3
10537,brésil,3
10538,L'Aquarius,3
10539,Barrières,3
10540,DRAPEAU,3
10541,tirez,3
10542,ANORMAL,3
10543,MORTS,3
10544,A. Einstein,3
10545,AVENIR,3
10546,PRIMES,3
10547,FONDS,3
10548,INJUSTE,3
10549,IMPOSENT,3
10550,ATTENDRE,3
10551,NEGOCIATIONS,3
10552,MAIL,3
10553,FAMILIALES,3
10554,PROFITE,3
10555,CAUTION,3
10556,EQUILIBRE,3
10557,Kippas,3
10558,Voiles,3
10559,Guernesey,3
10560,Edouard Snowden,3
10561,RESOUDRE,3
10562,Etre pus,3
10563,Montée,3
10564,Sièges,3
10565,Haute autorité pour la transparence de la vie publique et supprimer la réserve parlementaire,3
10566,Sirie,3
10567,SACEM,3
10568,Détermination,3
10569,Binôme,3
10570,SYNDICALES,3
10571,Fibre,3
10572,Application stricte,3
10573,Pluralisme,3
10574,Mérite National,3
10575,Claude Allègre,3
10576,Sénat et du Conseil,3
10577,Oubliez,3
10578,Jacques TESTART,3
10579,DANEMARK,3
10580,RFF,3
10581,LOTI,3
10582,Sillonner,3
10583,Varier,3
10584,ORGANISMES,3
10585,PARTIES,3
10586,Socio,3
10587,EXHAUSTIVE,3
10588,Hlm,3
10589,IV eme République,3
10590,OTAGE,3
10591,Démocratie Sociale,3
10592,HOMMES,3
10593,St Brieuc,3
10594,histoire de l'Humanité,3
10595,VALEURS INTANGIBLES,3
10596,L'IMMIGRATION,3
10597,QUOTAS ANNUELS,3
10598,BEP,3
10599,La société,3
10600,Nouvelle-Zélande,3
10601,Suffrage Universel,3
10602,COLLEGE,3
10603,MNS,3
10604,Virer Castaner,3
10605,François Bastien,3
10606,Battons,3
10607,Groenland,3
10608,Bernard Arnaud,3
10609,Mme Boutin,3
10610,Brel,3
10611,Lhomophobie,3
10612,Dénonciations,3
10613,Région Ile-de-France,3
10614,XVIIIe,3
10615,Engagement Citoyen,3
10616,STATUTS,3
10617,Cnews,3
10618,Nos Élus,3
10619,quota,3
10620,Allende,3
10621,Instauré,3
10622,L ENA,3
10623,Menaces,3
10624,Suisse ,3
10625,Iles,3
10626,l’effort »,3
10627,Shakespeare,3
10628,St Thomas,3
10629,Habitations,3
10630,B2 vierge,3
10631,CASH,3
10632,Penicaud,3
10633,Wikipedia,3
10634,notre Culture,3
10635,UDC,3
10636,ONGI,3
10637,ALLEMAND,3
10638,CINQ,3
10639,SOCIALES,3
10640,pdt,3
10641,Fois,3
10642,CEP,3
10643,Mondiaux,3
10644,Consultation Nationale,3
10645,Députés ,3
10646,L'ACTION,3
10647,porte de la Chapelle,3
10648,Souveraine,3
10649,Priorité,3
10650,courtoisie vis,3
10651,Goulag,3
10652,Mrs Macron,3
10653,n France,3
10654,Joseph Sieyès,3
10655,» L’,3
10656,George Orwell,3
10657,La souveraineté nationale,3
10658,Proportionnelle Totale,3
10659,Estrosi,3
10660,S. Dassault,3
10661,Proportionnelle INTEGRALE,3
10662,RIDICULE,3
10663,RÉGIONAL,3
10664,Prolonger,3
10665,Fraternelle,3
10666,impôt.gouv.fr,3
10667,l’Académie,3
10668,AIT,3
10669,Zélandais,3
10670,Aucun,3
10671,Thevenoud,3
10672,Nombre de Députés,3
10673,Echange,3
10674,Oyonnax,3
10675,Lhomme,3
10676,Sénat +,3
10677,Menace,3
10678,INTERIEUR,3
10679,Elections Municipales,3
10680,Comités Théodules,3
10681,l. Non,3
10682,Molinié,3
10683,Grands Corps,3
10684,Location,3
10685,Jacob,3
10686,Régionaux Départementaux,3
10687,école Sport,3
10688,CSM,3
10689,Jefferson,3
10690,Philippe Poutou,3
10691,TELLE,3
10692,MAX,3
10693,l’Ena,3
10694,I.S.F.,3
10695,Véme République,3
10696,Conseil économique et social et le Sénat,3
10697,Meyer Habib,3
10698,Transition écologique,3
10699,Le parlement,3
10700,Mme Simone Veil,3
10701,AUGMENTATION,3
10702,Avril,3
10703,Ecrivez,3
10704,Masstricht,3
10705,ARNAQUE,3
10706,ATAC,3
10707,Californienne,3
10708,Micro,3
10709,Paul Claudel,3
10710,DMP,3
10711,L EXEMPLE,3
10712,Citoyen Engagé,3
10713,LOGER,3
10714,Référendums d'Initiative Citoyenne,3
10715,Rodez,3
10716,Président de la Rébublique,3
10717,Entreprise France,3
10718,Oulala,3
10719,Ambassade de France,3
10720,Pacte mondial,3
10721,Civique obligatoire,3
10722,Briser,3
10723,Raphaël Enthoven,3
10724,Autorité Publique,3
10725,RIC Révocatoire,3
10726,Conventions,3
10727,Ingrid Levavasseur,3
10728,Permanence,3
10729,oms,3
10730,afrique du Nord,3
10731,Caisse des dépôts,3
10732,Solidarité !,3
10733,Courteline,3
10734,Gouvernement »,3
10735,Mr Raffarin,3
10736,CAMPS,3
10737,l'Agora,3
10738,Pere,3
10739,marine lepen,3
10740,INTEGRENT,3
10741,RdV,3
10742,Mme Badinter,3
10743,San,3
10744,EDUCATION FAMILIALE,3
10745,BENEVOLES,3
10746,GARANTIR,3
10747,max  ,3
10748,Associations sociales,3
10749,Majoritaire,3
10750,Cour d’Assises,3
10751,Du Bellay,3
10752,Règlement de Dublin,3
10753,Singapoure,3
10754,MEDIATEUR,3
10755,TERRITORIALE,3
10756,Racine,3
10757,Certain(e)s,3
10758,Ajoutons,3
10759,Monde »,3
10760,Autorités Administratives,3
10761,PLACE,3
10762,Cours de Cassation,3
10763,Berbère,3
10764,Sanctionne,3
10765,test,3
10766,Place publique,3
10767,ELECTORALE,3
10768,Chavez,3
10769,Sources,3
10770,Regime,3
10771,Ministre de la Culture,3
10772,GAD,3
10773,Educateur,3
10774,Zéro immigration,3
10775,SOLUTIONS,3
10776,Corréziens,3
10777,Rehausser,3
10778,Savigny,3
10779,- Inculquer,3
10780,Optimiser,3
10781,SAMU SOCIAL,3
10782,Accueillis,3
10783,SBAM,3
10784,notaire,3
10785,Député de la circonscription,3
10786,COMPLEXE,3
10787,Nombre de sénateurs,3
10788,Chambre des citoyens,3
10789,l’individu,3
10790,Ecosse,3
10791,Irlande du Nord,3
10792,LA CONFIANCE,3
10793,Nord Africaine,3
10794,Elus Régionaux,3
10795,Associations Caritatives,3
10796,L’Egalité,3
10797,Pierre Paul Jacques,3
10798,Twitch,3
10799,l'Otan,3
10800,Libanais,3
10801,DANS,3
10802,Crous,3
10803,Direction générale,3
10804,Reduction,3
10805,Mandat Présidentiel,3
10806,TROUBLE,3
10807,aurais,3
10808,Descendre,3
10809,Eduqué,3
10810,CO²,3
10811,POPULATIONS,3
10812,PAYS NORDIQUES,3
10813,GILETS,3
10814,Liberté égalité Fraternité,3
10815,Investiguer,3
10816,CECE,3
10817,Assemblée participative,3
10818,Résider,3
10819,Association locale,3
10820,Député !,3
10821,Certe,3
10822,Public sénat,3
10823,D. Oui,3
10824,légiférer,3
10825,CSC,3
10826,L HOMME,3
10827,Conseil Syndical,3
10828,Colbert,3
10829,G. Pompidou,3
10830,Service Universel National,3
10831,Accordez,3
10832,traité constitutionnel Européen,3
10833,assemblé,3
10834,Associations Professionnelles,3
10835,Associations Nationales,3
10836,Caisses,3
10837,Sociétal,3
10838,MOTIVATION,3
10839,Fonctionnement,3
10840,EPADE,3
10841,Marseillaises,3
10842,Financière,3
10843,Utube,3
10844,Source,3
10845,Occidentales,3
10846,Organisation internationale pour les migrations,3
10847,Republicain,3
10848,ETRANGERES,3
10849,place de l'Autre,3
10850,Rodamco,3
10851,Caisses de Retraite,3
10852,Baronnies,3
10853,Collectivité Nationale,3
10854,Enseignement Supérieur,3
10855,DEPUTES EUROPEENS,3
10856,l’Artisan,3
10857,Peuple Souverain,3
10858,Compte Rendu,3
10859,Egalité de notre devise,3
10860,Exprimer,3
10861,soyons,3
10862,la Fontaine,3
10863,Sociologues,3
10864,Mathieu,3
10865,ANONYMAT,3
10866,Barack Obama,3
10867,ÉDUCATION CIVIQUE,3
10868,Satisfaction,3
10869,Pyrénées Orientales,3
10870,Le Conseil d'Etat,3
10871,Etre gentil,3
10872,Andrieux,3
10873,National obligatoire,3
10874,obligatoire;. Oui,3
10875,Radar,3
10876,Cathédrale,3
10877,Landernau,3
10878,Aéroport,3
10879,ais,3
10880,Autoroute,3
10881,Glottophobie,3
10882,Normaux,3
10883,jsp,3
10884,l’effort,3
10885,(on,3
10886,Sénat et du,3
10887,Antennes,3
10888,Révision Constitutionnelle,3
10889,Gabriel Attal,3
10890,homos,3
10891,état unis,3
10892,Transparency international,3
10893,fisc,3
10894,principe Républicain,3
10895,Mcdo,3
10896,Proust,3
10897,Goshn,3
10898,Abstentions,3
10899,Levant,3
10900,Tolérence zéro,3
10901,Trop généreuse,3
10902,Bastiat,3
10903,Fayard,3
10904,cftc,3
10905,NIVEAU REGIONAL,3
10906,Reporterre,3
10907,Vincent Placé,3
10908,M. le Président de la République,3
10909,Parlementaires Européens,3
10910,SYSTEMATIQUE,3
10911,TAS,3
10912,Lavisse,3
10913,Franche comté,3
10914,La Maire,3
10915,VIeme république,3
10916,Pareto,3
10917,Notre Assemblée Nationale,3
10918,population!. Oui,3
10919,Etat souverain,3
10920,Maitrise du Français,3
10921,Magouille,3
10922,Compliquée,3
10923,Pascal Bruckner,3
10924,Extrême Droite,3
10925,Megot,3
10926,Aide Médicale d’Etat,3
10927,R.I.P,3
10928,Zineb,3
10929,Suis,3
10930,Pari,3
10931,Zineb el Rhazoui,3
10932,Ligue,3
10933,Extrême,3
10934,Obliger l’,3
10935,etre clair,3
10936,Mantes la Jolie,3
10937,Cour des comptes existe,3
10938,Tunisienne,3
10939,Titre I,3
10940,Rappels,3
10941,M.Castaner,3
10942,Frontière,3
10943,Brésilien,3
10944,Services municipaux,3
10945,PEU IMPORTE,3
10946,mac donald,3
10947,Brice Hortefeux,3
10948,flashball,3
10949,CHARITE,3
10950,Lilas,3
10951,anglais,3
10952,École !,3
10953,PHAROS,3
10954,INNACEPTABLE,3
10955,Redonner l’,3
10956,Disséminer,3
10957,pays du Golfe,3
10958,Universités françaises,3
10959,Gvt,3
10960,Gulli,3
10961,SA COMMUNE,3
10962,STATISTIQUES,3
10963,Institutionnelle,3
10964,Sureté,3
10965,Souveraineté Nationale,3
10966,Presidentielles,3
10967,Carlos Ghosne,3
10968,Balkanis,3
10969,Méthode de Condorcet,3
10970,Supprimet,3
10971,Renaud,3
10972,Trouvé,3
10973,SMV,3
10974,Assemblée Départementale,3
10975,Aéroport Notre Dame des Landes,3
10976,Ve Republique,3
10977,Colorado,3
10978,Elus !,3
10979,Évaluer,3
10980,Georges Orwell,3
10981,Commissaire,3
10982,siéger,3
10983,Nation s’,3
10984,Loi Pleven,3
10985,SUPRA,3
10986,Briand,3
10987,La Banque Alimentaire,3
10988,Daniel,3
10989,Christine Boutin,3
10990,Vidéo,3
10991,réfugié·es,3
10992,Giscard D'estaing,3
10993,Respect des personnes et des biens,3
10994,Zéro déchet,3
10995,Économies,3
10996,Archi,3
10997,Fédération de Russie,3
10998,général DE GAULLE,3
10999,EGALITE EGALITE,3
11000,Nouveauté,3
11001,Automatique,3
11002,Empire romain,3
11003,Maire de la Commune,3
11004,CAO,3
11005,Nostradamus,3
11006,Intégrez,3
11007,collégiens,3
11008,Implantation,3
11009,Statistiques,3
11010,Discussions,3
11011,Compatibiliser,3
11012,Banque Européenne,3
11013,MED,3
11014,Aménagement du Territoire,3
11015,Énergie,3
11016,OFFRE,3
11017,ENFIN,3
11018,Prohiber,3
11019,Obligatoires,3
11020,le Grand,3
11021,Europe de la défense,3
11022,H. Je,3
11023,tombola,3
11024,Occuper,3
11025,gogo,3
11026,Contravention,3
11027,Hortefeux,3
11028,Promouvoir l’,3
11029,Digitalisation,3
11030,https://fr.wikipedia.org/wiki/Vote_alternatif,3
11031,Adjoindre,3
11032,AVONS PLUS,3
11033,INNOVER,3
11034,RELATIVE,3
11035,travailler!. Oui,3
11036,Niquab,3
11037,lybie,3
11038,irak,3
11039,Boko Haram,3
11040,l’Assemblé nationale,3
11041,UPE2A,3
11042,cohabiter,3
11043,moulin »,3
11044,BAC+3,3
11045,canton de Vaud,3
11046,Bâle,3
11047,S Français,3
11048,S. Oui,3
11049,Epahd,3
11050,EGLISES,3
11051,Assemlée Nationale,3
11052,Assemblée !!!,3
11053,RIP national,3
11054,Voi,3
11055,Tolérance zéro ,3
11056,Peuple n’,3
11057,Mazarin,3
11058,L’assemblée,3
11059,Signatures,3
11060,Classer,3
11061,MOSELLE,3
11062,Jean Luc Mélenchon,3
11063,Reprimander,3
11064,réguler,3
11065,EXPRIMES,3
11066,l’énergie,3
11067,MARSHALL,3
11068,Franche Comté,3
11069,Buisson,3
11070,maison Europe,3
11071,Accord européen,3
11072,des Verts,3
11073,Soc,3
11074,Saint Nicolas,3
11075,Préférence Nationale,3
11076,Bonté,3
11077,VRAIE DÉMOCRATIE,3
11078,Beaux Arts,3
11079,Ministre de l'Economie,3
11080,Temp,3
11081,l’autre,3
11082,PUREMENT,3
11083,Service national volontaire,3
11084,coq,3
11085,Urine,3
11086,Ambassades de France,3
11087,MINISTÈRE DE,3
11088,DÉMOCRATIQUE,3
11089,ADJOINTS,3
11090,Bulletin vierge,3
11091,Cytoyens,3
11092,conseil Européen,3
11093,scutin,3
11094,MARIN,3
11095,Formation Professionnelle,3
11096,Laurent Wauquiez,3
11097,Auvergne Rhône Alpes,3
11098,INTERDITE,3
11099,Droit international,3
11100,Theodule,3
11101,Les Français,3
11102,Président de l'assemblée,3
11103,CEVIPOF,3
11104,DGPN,3
11105,DGGN,3
11106,relais,3
11107,Président du sénat,3
11108,TOUTES CELLES,3
11109,Le poste,3
11110,Suffrages,3
11111,carriere,3
11112,L’EGALITE,3
11113,Jean de France,3
11114,Trouver,3
11115,Carrières,3
11116,favorise,3
11117,proportionnelles,3
11118,Exigez,3
11119,Service National Civil,3
11120,Chambord,3
11121,Trésorerie,3
11122,pasteur,3
11123,Différences,3
11124,HUMILITE,3
11125,Figurez,3
11126,Pls,3
11127,Médine,3
11128,RESPECTENT,3
11129,supprimer sénat,3
11130,département ,3
11131,Allemagne ,3
11132,Abreuver,3
11133,Taxe,3
11134,EEE,3
11135,ESCLAVAGE,3
11136,Communauté nationale,3
11137,Préambule de notre Constitution,3
11138,Pyrénées Atlantiques,3
11139,Territoire de Belfort,3
11140,Orientales,3
11141,Aube,3
11142,Alpes de Haute Provence,3
11143,Île,3
11144,Yonne,3
11145,Deux,3
11146,Saône-et-Loire,3
11147,Discriminations sociales,3
11148,Communautés des communes,3
11149,TNS,3
11150,Cours régionales,3
11151,europeenne,3
11152,R I C. Oui,3
11153,L’ÉGALITÉ,3
11154,RELLE,3
11155,Conseil Local de Développement,3
11156,EMPORTE,3
11157,airbus,3
11158,Lordon,3
11159,Saddam Hussein,3
11160,FAVORISE,3
11161,PROCHAINES ELECTIONS,3
11162,Yahvé,3
11163,L’État Français,3
11164,fusionner sénat,3
11165,Savoir Vivre,3
11166,Féminin,3
11167,Réhabilitation,3
11168,AUCHAN,3
11169,préfecture de Nanterre,3
11170,Marc Fesneau,3
11171,Associations sportives,3
11172,Classes,3
11173,La Mairie,3
11174,CSESE,3
11175,Mutiplier,3
11176,Chantal Jouanneau,3
11177,BAL,3
11178,l’appliquer,3
11179,tous!. Oui,3
11180,Montmartre,3
11181,Police Justice,3
11182,Manuel,3
11183,FIXE,3
11184,Rentre,3
11185,place du Senat,3
11186,Attendu,3
11187,Territoire Français,3
11188,Charte des Nations Unies,3
11189,Pise,3
11190,Citoyenneté Française,3
11191,Banalla,3
11192,Sentinelle,3
11193,Assemblée territoriale,3
11194,Marcel Mauss,3
11195,le Rhône,3
11196,Cornélius Castoriadis,3
11197,Benalla ,3
11198,Italie du Sud,3
11199,Ma proposition,3
11200,Communes  ,3
11201,Les Communes,3
11202,Droit International,3
11203,Chinoise,3
11204,reprimer,3
11205,civisme,3
11206,Fournir,3
11207,Droits de l'homme et du citoyen,3
11208,FIDELEMENT,3
11209,Répressif,3
11210,pensez,3
11211,Conseil de Sécurité de l’ONU,3
11212,Assistants parlementaires,3
11213,Une assemblée nationale,3
11214,Syndicats intercommunaux,3
11215,Droits Fondamentaux,3
11216,L’Association,3
11217,Médecin,3
11218,Directives,3
11219,Cour de justice de l’Union européenne,3
11220,SPHERE PRIVEE,3
11221,barrage de Sivens,3
11222,Refixer,3
11223,Business France,3
11224,CHF,3
11225,Espace économique européen,3
11226,Brégancon,3
11227,Dauphine,3
11228,Voie publique,3
11229,scandaleux,3
11230,Sécurité Social,3
11231,Mulliez,3
11232,Carlos Ghon,3
11233,Applique,3
11234,Impartialité,3
11235,Sénat des USA,3
11236,Supprimer Facebook,3
11237,Président de la Cour,3
11238,Louer,3
11239,Recueil,3
11240,manifester,3
11241,Fiare,3
11242,Les sénateurs,3
11243,Marschal,3
11244,cgc,3
11245,Souverain,3
11246,Sollicitations,3
11247,NOTRE RÉPUBLIQUE,3
11248,COLLÈGES,3
11249,PLANNING FAMILIAL,3
11250,VERBALE,3
11251,SOIT NATIONAL,3
11252,Régime Général,3
11253,Pays de départ,3
11254,MAJORITÉ,3
11255,Ma liberté,3
11256,réferundum,3
11257,Baltique,3
11258,Président de la Républiques,3
11259,Hanouka,3
11260,école de la République!,3
11261,Langue Etrangère,3
11262,Appui,3
11263,Zone,3
11264,LAÏCITÉ TOTALE,3
11265,Nelle Zélande,3
11266,Waldeck,3
11267,Confédération helvétique,3
11268,voltaire,3
11269,LGBTQI+,3
11270,Repas,3
11271,Basons,3
11272,l’électeur,3
11273,d(intérêt,3
11274,Article,3
11275,INTÉGRALE,3
11276,Écossais,3
11277,Kanaks,3
11278,EMPLOYEUR,3
11279,AUTOMATIQUEMENT,3
11280,CLASSE POLITIQUE,3
11281,PAIRS,3
11282,QUELLE,3
11283,POPULATION,3
11284,Légal,3
11285,collége,3
11286,grand Londres,3
11287,PAUVRE,3
11288,Pensée,3
11289,IMPOSER,3
11290,Service Civil obligatoire,3
11291,Régis Debray,3
11292,CESE!. Oui,3
11293,Mercédès,3
11294,Rollex,3
11295,IMMEUBLE,3
11296,Polonaise,3
11297,Problème Européen,3
11298,Rôle inchangé,3
11299,Rôle du Sénat,3
11300,Réduire le Senat,3
11301,VOIX,3
11302,M. Juncker,3
11303,Numerus Clausus,3
11304,Mme Bettencourt,3
11305,VIè République,3
11306,Gaz de France,3
11307,Croate,3
11308,Privilegier,3
11309,ASSOS,3
11310,Jouanneau,3
11311,Thomas Paine,3
11312,THEODULE,3
11313,terrain!.,3
11314,Canard enchaîné,3
11315,Jouannot,3
11316,Apprentissage du Français,3
11317,intégration(langue,3
11318,Ong,3
11319,violé,3
11320,Allocations,3
11321,Pus de proportionnelle,3
11322,notre Administration,3
11323,INSUPPORTABLE,3
11324,Éduquer Réprimer,3
11325,SYNDICAT,3
11326,TOUTE MATIERE,3
11327,Pierre Paul,3
11328,EUA,3
11329,Simone,3
11330,Appliquer VRAIMENT,3
11331,Claude,3
11332,Comptabilité publique,3
11333,Noël de Strasbourg,3
11334,Exil,3
11335,ocde,3
11336,activer,3
11337,Boulé,3
11338,TUE,3
11339,Flat tax,3
11340,Président de Conseil Régional,3
11341,MUSULMANE,3
11342,Sénat!. Oui,3
11343,Triste France,3
11344,T.V.A.,3
11345,île de france,3
11346,Migration choisie,3
11347,Chambre des Régions,3
11348,Ukrainiens,3
11349,zero tolerance,3
11350,Parlement!,3
11351,Fabriquer,3
11352,Merlin,3
11353,SER,3
11354,Le.vote,3
11355,Grand Remplacement,3
11356,Gilles Legendre,3
11357,DECENNIES,3
11358,VENIR,3
11359,AURONT,3
11360,NOUS AURONS,3
11361,Olivier,3
11362,L'Amérique,3
11363,NATIONALITE,3
11364,- Sanction,3
11365,Cancun,3
11366,Chamonix,3
11367,Améliorez,3
11368,Antoine,3
11369,Victor,3
11370,FR2,3
11371,pays du sud,3
11372,Avortement,3
11373,Stefan Zweig,3
11374,Laïcités,3
11375,Kohler,3
11376,Etat unis,3
11377,Suggérer,3
11378,Emanuel Macron,3
11379,Polis,3
11380,Mme Aubry,3
11381,Arrêter l’,3
11382,mosquée de Paris,3
11383,Bundesrat allemand,3
11384,Second,3
11385,Ivry,3
11386,Principes fondamentaux,3
11387,Assigner,3
11388,Affaire Cahuzac,3
11389,Guéret,3
11390,Small,3
11391,COREE,3
11392,mur »,3
11393,le Breton,3
11394,Financier,3
11395,Association sociales,3
11396,notre Monde,3
11397,Smig,3
11398,Floride,3
11399,Transphobie,3
11400,Ingrid,3
11401,primo,3
11402,ONCFS,3
11403,SPANC,3
11404,Cerains,3
11405,Loisirs Pluriel,3
11406,INCIVILITÉS,3
11407,république Liberté,3
11408,Rance,3
11409,Peillon,3
11410,50 Euros,3
11411,Daladier,3
11412,Verdon,3
11413,Chambre régionale des comptes,3
11414,président de la république  ,3
11415,hélàs,3
11416,DISPONIBLE,3
11417,Notre Dame de Landes,3
11418,Traités,3
11419,Dématérialiser,3
11420,Habiliter,3
11421,Toujours,3
11422,Association de lutte,3
11423,Ministre de l'agriculture,3
11424,Samsung,3
11425,Bourg-de-Péage,3
11426,PERDRE,3
11427,Asperger,3
11428,cessez,3
11429,circonscription,3
11430,Ligue des droits de l'Homme,3
11431,palais du luxembourg,3
11432,Tirages,3
11433,Parlement réuni en congrès,3
11434,Crédit d’impôt compétitivité emploi,3
11435,CHÔMEURS,3
11436,DÉBUT,3
11437,INFRACTIONS,3
11438,PRIORITES,3
11439,Con,3
11440,Etre Elu,3
11441,multiculturelle,3
11442,Pacte social,3
11443,Référendum Populaire,3
11444,dose de proportionelle,3
11445,ECM,3
11446,L. Oui,3
11447,Sénat Réduction,3
11448,racines Judéo,3
11449,Sun,3
11450,Europes,3
11451,ANNULE,3
11452,Irpp,3
